Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000007093,1983.348273,1983,5,8,2,52,11,124.0,11.68,41.0,3.0,POINT (13803616.858365921 1309311.759908521)
ISCBUL,301160430,1984.400872,1984,5,27,2,52,34,124.31,12.22,10.0,4.9,POINT (13838125.900511838 1370756.1083853391)
PIVS,3000008367,1984.470522,1984,6,21,16,21,28,123.89,11.64,41.0,3.5,POINT (13791371.714378662 1304765.15713963)
PIVS,3000008412,1984.544143,1984,7,18,16,48,55,124.34,11.7,33.0,3.4,POINT (13841465.485235635 1311585.307225945)
PIVS,3000008481,1984.6522,1984,8,27,8,34,46,123.8,11.73,33.0,3.3,POINT (13781352.960207269 1314995.9364641097)
PIVS,3000009169,1985.947992,1985,12,13,0,24,48,124.0,12.0,33.0,4.2,POINT (13803616.858365921 1345708.4084091089)
PIVS,3000009421,1986.756397,1986,10,4,2,2,20,123.6,11.7,33.0,4.3,POINT (13759089.062048612 1311585.307225945)
PIVS,3000009786,1987.68399,1987,9,7,15,45,2,124.0,11.6,52.0,4.0,POINT (13803616.858365921 1300219.208188277)
PIVS,3000010330,1989.919719,1989,12,2,16,44,9,123.74,12.01,33.0,4.0,POINT (13774673.79075967 1346846.4938698087)
PIVS,3000010558,1990.121729,1990,2,14,10,20,49,124.04,11.4,33.0,5.0,POINT (13808069.637997655 1277499.1866471162)
PIVS,3000011583,1991.196342,1991,3,13,15,57,19,124.49,11.68,72.0,4.4,POINT (13858163.408854626 1309311.759908521)
PIVS,3000012438,1992.171484,1992,3,3,22,25,45,124.24,12.29,25.0,4.1,POINT (13830333.53615631 1378730.1817769124)
PIVS,3000012440,1992.174169,1992,3,4,22,4,58,123.61,11.94,11.0,5.0,POINT (13760202.256956546 1338880.7809432405)
PIVS,3000012849,1993.048851,1993,1,18,19,56,1,124.41,11.74,130.0,5.4,POINT (13849257.849591164 1316132.8952304705)
PIVS,3000013082,1993.684821,1993,9,7,23,1,58,124.29,12.2,22.0,4.9,POINT (13835899.510695972 1368478.189751179)
PIVS,3000013572,1994.727833,1994,9,23,15,49,14,124.36,11.54,12.0,5.0,POINT (13843691.8750515 1293401.5054129816)
PIVS,3000013586,1994.768388,1994,10,8,11,4,52,123.81,12.29,14.0,4.4,POINT (13782466.155115202 1378730.1817769124)
ISCBUL,183787,1995.302897,1995,4,21,13,22,35,124.29,11.71,0.0,4.7,POINT (13835899.510695972 1312722.1424994597)
PIVS,3000014423,1995.656598,1995,8,28,15,47,43,124.1,12.27,31.0,4.5,POINT (13814748.807445249 1376451.6590677854)
ISCBUL,301333168,1996.350329,1996,5,8,13,41,44,124.0,11.62,35.0,4.4,POINT (13803616.858365921 1302492.101086989)
ISCBUL,301525221,1996.473667,1996,6,22,20,3,23,124.07,11.99,10.0,4.5,POINT (13811409.22272145 1344570.3651684555)
ISCBUL,1162594,1996.731176,1996,9,25,8,11,48,124.17,12.36,0.0,4.1,POINT (13822541.171800781 1386706.3778069292)
ISCBUL,301391729,1997.627479,1997,8,18,0,42,51,123.83,11.84,13.0,4.3,POINT (13784692.544931067 1327504.7572786147)
PIVS,3000016513,1997.678342,1997,9,5,14,16,18,124.06,11.53,21.0,5.2,POINT (13810296.027813518 1292265.3635449682)
PIVS,3000017245,1998.538914,1998,7,16,16,53,6,124.2,11.91,22.0,4.3,POINT (13825880.756524578 1335467.5346307282)
PIVS,3000018148,1999.619258,1999,8,15,0,41,44,124.32,11.91,2.0,5.8,POINT (13839239.09541977 1335467.5346307282)
PIVS,3000018280,1999.804138,1999,10,21,12,14,50,123.94,12.21,7.0,4.1,POINT (13796937.688918326 1369617.1275605834)
ISCBUL,2536988,2000.758262,2000,10,5,6,46,21,123.95,12.11,5.0,4.8,POINT (13798050.88382626 1358229.6788994707)
ISCBUL,3454323,2001.205838,2001,3,17,3,8,12,124.14,11.99,27.0,4.8,POINT (13819201.587076982 1344570.3651684555)
PIVS,3000019972,2001.998937,2001,12,31,14,41,3,124.33,11.49,1.0,5.3,POINT (13840352.290327704 1287721.200206286)
PIVS,3000020823,2003.124547,2003,2,15,11,2,0,123.81,12.24,23.0,6.2,POINT (13782466.155115202 1373034.1992327005)
ISCGEM,2000001774,2003.389316,2003,5,23,2,24,45,124.16,11.86,17.5,5.6,POINT (13821427.976892846 1329779.6278759574)
ISCBUL,5540677,2004.455471,2004,6,16,3,47,5,124.21,11.75,20.0,4.7,POINT (13826993.951432507 1317269.89523635)
ISCBUL,6332573,2004.871437,2004,11,15,19,36,50,124.5,11.96,17.0,4.9,POINT (13859276.603762558 1341156.4883888415)
ISCBUL,6333042,2004.992471,2004,12,30,5,40,49,123.88,12.16,11.0,5.1,POINT (13790258.51947073 1363922.8679083725)
ISCBUL,7416455,2005.230676,2005,3,26,4,43,21,124.23,11.77,23.0,4.7,POINT (13829220.341248376 1319544.0191171875)
ISCBUL,7418722,2005.607027,2005,8,10,13,33,22,123.88,12.14,6.0,4.7,POINT (13790258.51947073 1361645.4640929557)
ISCBUL,7419319,2005.703543,2005,9,14,19,2,1,124.21,11.81,20.0,4.3,POINT (13826993.951432507 1324092.7634092178)
PIVS,3000023178,2005.944921,2005,12,11,21,30,20,123.9,12.16,2.0,4.7,POINT (13792484.909286596 1363922.8679083725)
ISCBUL,7421202,2005.999888,2005,12,31,23,1,17,124.2,11.81,10.0,4.7,POINT (13825880.756524578 1324092.7634092178)
ISCBUL,8181946,2006.471592,2006,6,22,3,8,55,124.06,11.95,1.0,5.0,POINT (13810296.027813518 1340018.6136504756)
ISCBUL,301752341,2006.816517,2006,10,26,0,41,14,123.79,12.29,47.23,5.1,POINT (13780239.765299337 1378730.1817769124)
ISCBUL,8458336,2006.828547,2006,10,30,10,4,26,124.45,11.95,0.0,4.0,POINT (13853710.629222894 1340018.6136504756)
ISCBUL,8476333,2006.903024,2006,11,26,14,29,34,124.26,11.71,0.0,4.3,POINT (13832559.925972175 1312722.1424994597)
ISCBUL,10364613,2007.320489,2007,4,27,23,29,10,124.39,11.54,4.0,4.9,POINT (13847031.459775299 1293401.5054129816)
ISCBUL,10364676,2007.334596,2007,5,3,3,3,28,124.06,12.0,61.0,4.6,POINT (13810296.027813518 1345708.4084091089)
ISCBUL,10367727,2007.847838,2007,11,6,11,3,27,124.21,12.22,1.0,4.7,POINT (13826993.951432507 1370756.1083853391)
ISCBUL,12157282,2008.206647,2008,3,16,20,8,41,124.21,11.81,21.0,4.8,POINT (13826993.951432507 1324092.7634092178)
ISCBUL,12157730,2008.273451,2008,4,10,8,33,12,123.82,12.28,15.0,4.5,POINT (13783579.350023134 1377590.898781785)
ISCBUL,12159125,2008.486579,2008,6,27,13,47,15,123.76,12.29,10.0,4.5,POINT (13776900.180575538 1378730.1817769124)
ISCBUL,12161116,2008.817289,2008,10,26,22,40,47,123.86,12.17,3.0,4.6,POINT (13788032.129654866 1365061.6340357058)
ISCBUL,12161569,2008.911873,2008,11,30,15,46,35,124.14,11.84,22.0,5.4,POINT (13819201.587076982 1327504.7572786147)
ISCBUL,13541294,2009.099187,2009,2,6,4,52,42,123.83,12.24,4.0,4.3,POINT (13784692.544931067 1373034.1992327005)
PIVS,3000028067,2010.170378,2010,3,4,4,30,56,123.93,12.05,2.0,5.1,POINT (13795824.494010393 1351399.2586692423)
ISCBUL,17241406,2010.314997,2010,4,25,23,22,24,124.33,11.65,25.0,5.0,POINT (13840352.290327704 1305901.7464425538)
ISCBUL,17243698,2010.756673,2010,10,4,4,27,14,124.34,11.69,44.0,4.3,POINT (13841465.485235635 1310448.5130414972)
ISCBUL,602975917,2011.132951,2011,2,18,12,39,5,124.3,11.63,8.57,4.7,POINT (13837012.705603905 1303628.608700294)
ISCBUL,601886436,2011.472697,2011,6,22,12,49,31,124.11,12.23,32.0,4.8,POINT (13815862.002353182 1371895.1322633934)
ISCBUL,601887189,2011.560124,2011,7,24,10,40,58,124.3,11.83,96.0,4.8,POINT (13837012.705603905 1326367.3844229558)
PIVS,3000030239,2011.807153,2011,10,22,14,39,45,123.97,12.03,2.0,4.2,POINT (13800277.273642125 1349122.791602568)
PIVS,3000031321,2012.506735,2012,7,4,23,19,29,124.38,11.52,3.0,5.4,POINT (13845918.264867367 1291129.2621277738)
ISCBUL,605418522,2012.599654,2012,8,8,1,45,10,124.24,12.0,90.0,4.9,POINT (13830333.53615631 1345708.4084091089)
ISCBUL,605422479,2012.980713,2012,12,25,22,7,6,124.11,11.86,21.0,4.9,POINT (13815862.002353182 1329779.6278759574)
PIVS,3000032489,2013.022868,2013,1,9,8,19,33,124.24,12.33,11.0,4.1,POINT (13830333.53615631 1383287.7473287273)
ISCBUL,607731844,2013.431581,2013,6,7,12,39,13,124.32,11.45,6.0,4.8,POINT (13839239.09541977 1283177.681682396)
ISCBUL,607734647,2013.683833,2013,9,7,14,22,39,123.93,12.11,20.0,5.3,POINT (13795824.494010393 1358229.6788994707)
ISCBUL,610328521,2014.011565,2014,1,5,5,18,30,124.24,11.82,15.0,4.9,POINT (13830333.53615631 1325230.0531457178)
ISCBUL,611482409,2014.665412,2014,8,31,21,0,34,124.49,11.84,20.0,4.9,POINT (13858163.408854626 1327504.7572786147)
ISCBUL,611493221,2014.717794,2014,9,19,23,52,23,123.77,11.54,36.0,4.6,POINT (13778013.375483468 1293401.5054129816)
PIVS,3000036092,2014.938068,2014,12,9,9,28,26,123.92,12.11,19.0,5.2,POINT (13794711.299102461 1358229.6788994707)
PIVS,3000036735,2015.387557,2015,5,22,10,59,59,124.24,11.47,1.0,5.1,POINT (13830333.53615631 1285449.3604923305)
PIVS,3000037449,2015.826202,2015,10,29,13,31,49,123.92,12.17,18.0,4.5,POINT (13794711.299102461 1365061.6340357058)
PIVS,3000037465,2015.840584,2015,11,3,19,30,51,124.32,11.88,80.0,4.3,POINT (13839239.09541977 1332054.6652393385)
PIVS,3000038067,2016.223314,2016,3,22,22,56,51,123.97,12.14,1.0,4.5,POINT (13800277.273642125 1361645.4640929557)
PIVS,3000038629,2016.616357,2016,8,14,4,52,33,124.32,11.59,3.0,5.4,POINT (13839239.09541977 1299082.8228277883)
ISCBUL,616571111,2016.750693,2016,10,2,12,6,20,123.82,12.32,3.0,4.6,POINT (13783579.350023134 1382148.2908290583)
ISCBUL,616715893,2016.939912,2016,12,10,22,44,36,124.32,12.17,9.0,5.2,POINT (13839239.09541977 1365061.6340357058)
ISCBUL,618585087,2017.434041,2017,6,8,10,11,56,123.84,12.29,22.0,4.3,POINT (13785805.739838999 1378730.1817769124)
PIVS,3000040714,2017.600732,2017,8,8,6,24,58,124.18,11.81,18.0,4.9,POINT (13823654.366708713 1324092.7634092178)
PIVS,3000041013,2017.770533,2017,10,9,5,52,0,123.88,12.21,7.0,4.1,POINT (13790258.51947073 1369617.1275605834)
PIVS,3000041448,2018.041903,2018,1,16,7,4,5,124.27,11.68,6.0,5.0,POINT (13833673.120880106 1309311.759908521)
PIVS,3000042136,2018.486639,2018,6,27,14,57,38,123.94,12.05,4.0,4.5,POINT (13796937.688918326 1351399.2586692423)
PIVS,3000042510,2018.708353,2018,9,16,13,10,24,124.17,11.85,9.0,4.1,POINT (13822541.171800781 1328642.1717503832)
ISCBUL,621836791,2019.012454,2019,1,5,13,5,57,123.72,12.24,50.0,4.4,POINT (13772447.400943805 1373034.1992327005)
ISCBUL,621877398,2019.159544,2019,2,28,5,36,19,123.72,11.54,35.0,4.2,POINT (13772447.400943805 1293401.5054129816)
ISCBUL,622465468,2019.420287,2019,6,3,9,42,53,123.81,12.33,14.0,4.8,POINT (13782466.155115202 1383287.7473287273)
ISCBUL,622913858,2019.893501,2019,11,23,3,4,15,124.15,11.98,13.0,4.7,POINT (13820314.781984914 1343432.364110052)
ISCBUL,626354611,2020.610137,2020,8,11,22,5,16,124.1,11.97,1.3,5.1,POINT (13814748.807445249 1342294.4051961084)
ISCBUL,626383084,2020.70816,2020,9,16,21,28,22,124.23,11.61,9.51,4.7,POINT (13829220.341248376 1301355.6342621646)
ISCBUL,626619117,2020.882052,2020,11,19,17,7,1,123.66,12.15,10.56,4.2,POINT (13765768.23149621 1362784.144606758)
